Apr,Moonrise,Moonset,Time,Distance (mi),Illumination,Type
1,11:52 AM,2:27:00 AM,7:37 PM,"236,637",56.00%,First Quarter
2,12:54 PM,3:20:00 AM,8:34 PM,"232,783",67.00%,null
3,2:02 PM,4:08:00 AM,9:31 PM,"229,056",77.50%,
4,3:15 PM,4:50:00 AM,10:27 PM,"225,791",86.70%,
5,4:31 PM,5:27:00 AM,11:22 PM,"223,334",94.00%,
6,5:48 PM,6:01:00 AM,null,null,null,
7,7:05 PM,6:33:00 AM,12:16 AM,"221,977",98.50%,Full 
8,8:22 PM,7:05:00 AM,1:10 AM,"221,902",99.80%,
9,9:39 PM,7:38:00 AM,2:05 AM,"223,139",97.90%,
10,10:54 PM,8:14:00 AM,3:00 AM,"225,554",92.90%,
11,null,8:54 AM,3:57 AM,"228,877",85.40%,
12,12:05 AM,9:40 AM,4:54 AM,"232,761",76.20%,
13,1:09 AM,10:32 AM,5:51 AM,"236,838",66.00%,
14,2:06 AM,11:28 AM,6:46 AM,"240,780",55.30%,Third Quarter
15,2:54 AM,12:28 PM,7:39 AM,"244,325",44.80%,
16,3:34 AM,1:29 PM,8:29 AM,"247,301",34.80%,
17,4:08 AM,2:29 PM,9:15 AM,"249,614",25.60%,
18,4:37 AM,3:29 PM,9:59 AM,"251,239",17.60%,
19,5:03 AM,4:27 PM,10:41 AM,"252,201",10.80%,
20,5:27 AM,5:25 PM,11:22 AM,"252,558",5.60%,
21,5:50 AM,6:23 PM,12:02 PM,"252,381",2.00%,
22,6:14 AM,7:22 PM,12:43 PM,"251,740",0.30%,New
23,6:39 AM,8:22 PM,1:25 PM,"250,691",0.50%,
24,7:06 AM,9:22 PM,2:10 PM,"249,274",2.60%,
25,7:37 AM,10:24 PM,2:56 PM,"247,506",6.70%,
26,8:13 AM,11:24 PM,3:46 PM,"245,394",12.70%,
27,8:56:00 AM,null,4:38 PM,"242,941",20.40%,
28,9:46 AM,12:23:00 AM,5:32 PM,"240,170",29.70%,
29,10:44 AM,1:17:00 AM,6:27 PM,"237,140",40.10%,
30,11:48 AM,2:05:00 AM,7:22 PM,"233,964",51.40%,First Quarter